,esp,fecha,nota,legajo,materia,nombre_de_,ingr
39,81,20-Mar-98,Au,7472,230,Investigación Operativa,1994.0
42,81,13-May-98,Au,7665,2121,Planificación de la Producción,1994.0
43,81,13-May-98,Au,7665,2121,Planificación de la Producción,1994.0
127,84,15-May-98,Au,7793,229,Economía de la Empresa Agraria,1995.0
135,84,20-Mar-98,Au,7793,376,Sanidad Vegetal (Elec.),1995.0
170,84,14-Dec-98,Au,7812,440,Relaciones Laborales(Plan 95),1995.0
205,84,03-Mar-99,Au,7890,204,Probabilidad y Estadística(Plan 95),1995.0
217,84,14-Dec-98,Au,7940,440,Relaciones Laborales(Plan 95),1995.0
225,84,14-Dec-98,Au,7963,440,Relaciones Laborales(Plan 95),1995.0
277,21,24-Sep-99,Au,5000,234,Cimentaciones,1986.0
285,21,07-Dec-98,Au,5112,211,Topografía y Geodesia,1986.0
299,21,16-Jul-99,Au,5112,235,Estructuras Metálicas y de Madera,1986.0
300,21,16-Jul-99,Au,5112,235,Estructuras Metálicas y de Madera,1986.0
330,21,02-Aug-99,Au,5673,231,Instalaciones Eléctricas y Acústicas,1988.0
331,21,02-Aug-99,Au,5673,231,Instalaciones Eléctricas y Acústicas,1988.0
355,21,16-Mar-98,Au,5851,226,Diseño Arquitectónico y Planeamiento I,1989.0
469,81,07-Aug-98,Au,6924,235,Comercialización,1992.0
558,84,15-May-98,Au,7971,373,Política Agropecuaria Argentina (Elec.),1995.0
560,84,18-Oct-99,Au,7971,374,Economía Ecológica (Elec.),1995.0
597,84,19-Dec-02,Au,8015,225,Procesos Agroindustriales I,1995.0
620,21,01-Mar-99,Au,8120,1349,Inglés,1993.0
647,81,01-Mar-99,Au,8143,111,Inglés Técnico I,1995.0
660,81,18-Mar-98,Au,8143,209,Legislación,1995.0
687,81,06-Aug-01,Au,8166,233,Estudio del Trabajo,1996.0
688,81,09-Oct-01,Au,8166,233,Estudio del Trabajo,1996.0
691,81,13-Dec-00,Au,8166,234,Informática II,1996.0
695,81,10-Oct-01,Au,8166,341,"Seguridad,Higiene e Ingeniería Ambiental",1996.0
735,81,06-Oct-00,Au,8286,336,Economía de la Empresa,1996.0
741,81,08-Aug-03,Au,8286,474,Práctica Profesional I - Sistemas y Circuitos Administrativos (Elec.),1996.0
778,81,20-Mar-98,Au,8360,108,Economía General,1996.0
779,81,15-May-98,Au,8360,108,Economía General,1996.0
782,81,19-Mar-99,Au,8360,108,Economía General,1996.0
784,81,13-Mar-00,Au,8360,108,Economía General,1996.0
786,81,15-Mar-99,Au,8360,111,Inglés Técnico I,1996.0
795,81,18-Mar-98,Au,8360,125,Organización Industrial I,1996.0
796,81,18-Mar-98,Au,8360,125,Organización Industrial I,1996.0
797,81,17-Mar-99,Au,8360,125,Organización Industrial I,1996.0
798,81,12-May-99,Au,8360,125,Organización Industrial I,1996.0
804,81,12-Mar-01,Au,8402,108,Economía General,1996.0
814,81,02-Aug-99,Au,8402,209,Legislación,1996.0
815,81,22-Oct-99,Au,8402,209,Legislación,1996.0
816,81,13-Dec-99,Au,8402,228,Conocimiento de Materiales,1996.0
835,84,05-Mar-99,Au,8495,226,Organización de Empresas(Plan 95),1996.0
860,84,03-Aug-98,Au,8506,331,Organización Rural(Plan 95),1996.0
861,84,03-Aug-98,Au,8506,331,Organización Rural(Plan 95),1996.0
875,84,07-Aug-98,Au,8506,373,Política Agropecuaria Argentina (Elec.),1996.0
876,84,16-Jul-99,Au,8506,374,Economía Ecológica (Elec.),1996.0
878,84,13-Mar-00,Au,8506,409,Legislación,1996.0
891,81,06-Aug-99,Au,8530,108,Economía General,1996.0
892,81,13-Mar-00,Au,8530,108,Economía General,1996.0
896,81,20-Mar-98,Au,8530,124,Física,1996.0
936,84,26-Feb-02,Au,8553,374,Economía Ecológica (Elec.),1996.0
955,84,04-Dec-00,Au,8561,212,Inglés  II,1996.0
960,84,16-Mar-98,Au,8561,226,Organización de Empresas(Plan 95),1996.0
968,84,15-Mar-00,Au,8561,331,Organización Rural(Plan 95),1996.0
971,84,02-Aug-00,Au,8561,333,Control de Gestión(Plan 95),1996.0
979,84,06-Oct-03,Au,8561,410,Tecnología y Sociedad,1996.0
986,84,07-Oct-98,Au,8603,102,Análisis Matemático,1996.0
988,84,06-Aug-99,Au,8603,108,Economía(Plan 95),1996.0
991,84,09-Oct-01,Au,8603,108,Economía(Plan 95),1996.0
992,84,10-Dec-01,Au,8603,108,Economía(Plan 95),1996.0
995,84,15-Jul-98,Au,8603,122,Producción Agraria I,1996.0
1014,84,14-May-99,Au,8634,336,Financiación(Plan 95),1996.0
1015,84,14-May-99,Au,8634,336,Financiación(Plan 95),1996.0
1024,84,16-Feb-00,Au,8634,439,Planificación(Plan 95),1996.0
1026,84,10-May-00,Au,8634,439,Planificación(Plan 95),1996.0
1031,84,16-Jul-99,Au,8634,472,Producción Lechera (Elec.),1996.0
1032,84,04-Aug-99,Au,8634,472,Producción Lechera (Elec.),1996.0
1105,84,18-Oct-99,Au,8681,331,Organización Rural(Plan 95),1996.0
1114,84,14-Dec-01,Au,8681,410,Tecnología y Sociedad,1996.0
1115,84,02-Aug-02,Au,8681,410,Tecnología y Sociedad,1996.0
1119,84,02-Dec-02,Au,8681,440,Relaciones Laborales(Plan 95),1996.0
1159,84,12-Dec-01,Au,8696,439,Planificación(Plan 95),1996.0
1160,84,10-Jul-02,Au,8696,439,Planificación(Plan 95),1996.0
1162,84,04-Aug-03,Au,8696,440,Relaciones Laborales(Plan 95),1996.0
1169,84,06-Oct-03,Au,8715,111,Inglés  I,1996.0
1177,84,15-Feb-06,Au,8715,171,Informática (Elec.),1996.0
1179,84,18-Mar-98,Au,8715,204,Probabilidad y Estadística(Plan 95),1996.0
1185,84,28-Feb-00,Au,8715,226,Organización de Empresas(Plan 95),1996.0
1186,84,13-Mar-00,Au,8715,226,Organización de Empresas(Plan 95),1996.0
1187,84,11-Mar-03,Au,8715,226,Organización de Empresas(Plan 95),1996.0
1194,84,08-Mar-04,Au,8715,331,Organización Rural(Plan 95),1996.0
1195,84,03-May-04,Au,8715,331,Organización Rural(Plan 95),1996.0
