plan,materia,nombre_de_
2008,101,Álgebra y Geometría Analítica
2008,102,Análisis Matemático I
2008,110,Ingeniería y Sociedad
2008,111,Inglés I
2008,115,Sistemas de Representación
2008,121,Matemática Discreta
2008,122,Algoritmos y Estructuras de Datos
2008,123,Arquitectura de Computadoras
2008,124,Química
2008,125,Sistemas y Organizaciones
2008,126,Física I
2008,134,Inglés A
2008,136,Inglés B
2008,203,Análisis Matemático II
2008,204,Probabilidades y Estadísticas
2008,212,Inglés II
2008,217,Inglés C
2008,219,Inglés D
2008,226,Física II
2008,227,Análisis de Sistemas
2008,228,Sintaxis y Semántica de los Lenguajes
2008,229,Paradigmas de Programación
2008,230,Sistemas Operativos
2008,308,Economía
2008,330,Comunicaciones y Redes
2008,331,Diseño de Sistemas
2008,332,Comunicaciones
2008,333,Gestión de Datos
2008,334,Redes de Información
2008,336,Matemática Superior
2008,396,Soporte a la Gestión de Datos con Programació
2008,409,Legislación
2008,436,Administración de Recursos
2008,437,Investigación Operativa
2008,438,Simulación
2008,440,Teoría de Control
2008,441,Ingeniería de Software
2008,450,Habilitación Profesional
2008,468,Análisis y Diseño de Sistemas Orientado a Obj
2008,473,Redes Avanzadas (Elec.)
2008,519,Práctica Supervisada
2008,535,Arquitectura de Computadoras II (Elec.)
2008,541,Sistemas de Gestión
2008,542,Administración Gerencial
2008,543,Inteligencia Artificial
2008,550,Proyecto Final
2008,571,Taller de Programación Concurrente y Distribu
2008,623,Procesamiento Digital de Imágenes (Elec.)
2008,638,Sistemas de Información Geográficos (Elec.)
2008,647,Criptografía(Elec.)
2008,650,Seguridad Informática(Elec.)
2008,666,Diseño e Implementación de Sistemas Operativo
2008,685,Modelado y Simulación Generativa de Sistemas(
2008,704,Seguridad en Sistemas de información(Elec.)
2008,708,Creatividad(Elec.)
2008,732,Planeamiento de la Producción(Elec.)
2008,754,Organización Industrial(Elec.)
2008,755,Sistemas Scada(Elec.)
2008,761,Gestión del Conocimiento en Base de Datos(Ele
2008,762,Laboratorio de Utilización de Microcontrolado
2008,792,Introducción a la Investigación Científica(El
2008,844,Programación en SQL (Elec.)
2008,856,Formación en Áreas Ingenieriles en el Extranj
2008,888,Interacción Sistemas - Entorno. Aplicaciones
2008,889,Proyectar y Emprender (Elec.)
2008,890,Automatización y Robótica Industrial (Elec.)
2008,5017,Laboratorio de Utilización de Controladores
