esp,fecha,nota,legajo,materia,nombre_de_,ingr
8,03-Aug-85, 5,3120,183,Computación,1981
8,20-Dec-82, 6,3120,626,Física I,1981
81,16-Dec-94, 9,7375,2112,Sistemas de Información I,1993
81,08-Mar-96, 8,7375,2113,Sistemas de Información II,1993
81,28-Feb-96, 5,7375,2114,Organización Industrial,1993
81,17-May-96, 7,7375,2115,Economía de la Empresa I,1993
81,17-Jul-95, 8,7375,2116,Diagramación Lógica,1993
81,13-Dec-95, 6,7375,2117,Procesos Industriales II,1993
81,09-Aug-96, 5,7375,2118,Investigación Operativa,1993
81,15-Jul-96, 7,7375,2119,Costos,1993
81,07-Oct-96, 8,7375,2120,Economía de la Empresa II,1993
81,20-Dec-96, 6,7375,2121,Planificación de la Producción,1993
81,11-Dec-96, 2,7375,2122,Computación I,1993
81,06-Aug-97, 5,7375,2122,Computación I,1993
81,06-Aug-97, 4,7375,2123,Estudio del Trabajo,1993
81,05-Mar-97, 5,7375,2124,Instalaciones Industriales,1993
81,11-Dec-98, 8,7375,2125,Evaluación de Proyectos,1993
81,16-Jul-97, 8,7375,2126,Control de la Producción,1993
81,18-Mar-98, 6,7375,2127,Computación II,1993
81,11-Dec-98, 8,7375,2128,Seminario Final,1993
81,11-May-98, 8,7375,2129,Legislación,1993
81,04-Mar-98, 9,7375,2130,Relaciones Industriales,1993
81,15-Dec-97, 7,7375,2131,Control de Gestión,1993
81,11-May-98, 9,7375,2132,Higiene y Seguridad Industrial,1993
21,05-Jul-99, 7,7433,211,Topografía y Geodesia,1994
21,05-Jul-99, 7,7433,211,Topografía y Geodesia,1994
21,29-Nov-99, 6,7433,224,Técnicas Constructivas II,1994
21,26-Apr-99, 8,7433,226,Diseño Arquitectónico y Planeamiento I,1994
21,13-Oct-99, 6,7433,228,Elasticidad y Plasticidad,1994
21,16-Mar-98, 8,7433,229,Hormigón Armado II,1994
21,18-Jun-99, 7,7433,232,Instalaciones Termomecánicas,1994
21,18-Jun-99, 7,7433,232,Instalaciones Termomecánicas,1994
21,25-Oct-99, 7,7433,233,Organización y Conducción de Obras,1994
21,13-Dec-99, 8,7433,235,Estructuras Metálicas y de Madera,1994
21,22-Oct-99, 8,7433,236,Estructuras Especiales,1994
21,26-Apr-99, 8,7433,237,Diseño Arquitectónico y Planeamiento II,1994
21,14-Dec-98, 8,7433,337,Ingeniería Legal,1994
21,20-May-99, 6,7433,1349,Inglés,1994
21,20-May-99, 6,7433,1349,Inglés,1994
81,20-Mar-98,Au,7472,230,Investigación Operativa,1994
81,16-Mar-98, 6,7530,2131,Control de Gestión,1994
81,16-Mar-98, 6,7530,2131,Control de Gestión,1994
81,13-May-98,Au,7665,2121,Planificación de la Producción,1994
81,13-May-98,Au,7665,2121,Planificación de la Producción,1994
81,15-Jul-98, 4,7665,2121,Planificación de la Producción,1994
81,15-Jul-98, 4,7665,2121,Planificación de la Producción,1994
81,05-Aug-98, 6,7665,2126,Control de la Producción,1994
81,05-Aug-98, 6,7665,2126,Control de la Producción,1994
81,05-Oct-98, 4,7665,2129,Legislación,1994
81,05-Oct-98, 4,7665,2129,Legislación,1994
81,15-Mar-99, 6,7665,2132,Higiene y Seguridad Industrial,1994
81,15-Mar-99, 6,7665,2132,Higiene y Seguridad Industrial,1994
81,18-Mar-98, 4,7681,2129,Legislación,1994
81,15-May-98, 6,7681,2131,Control de Gestión,1994
81,07-Aug-98, 7,7700,2118,Investigación Operativa,1994
81,13-Jul-98, 9,7700,2123,Estudio del Trabajo,1994
81,30-Mar-00, 7,7700,2128,Seminario Final,1994
81,05-Oct-98, 6,7700,2129,Legislación,1994
81,05-Oct-98, 6,7700,2130,Relaciones Industriales,1994
81,11-Dec-98, 8,7700,2131,Control de Gestión,1994
81,15-Mar-99, 9,7700,2132,Higiene y Seguridad Industrial,1994
81,30-Mar-00, 7,7700,445,Evaluación de Proyectos,1994
8,09-Dec-85,10,7762,280,Estabilidad Especial,1984
8,28-Dec-84, 6,7762,626,Física I,1984
8,21-Dec-85, 5,7762,630,Física II A,1984
8,26-Feb-86, 7,7762,631,Física II B,1984
8,18-Feb-85, 7,7762,768,Álgebra y Métodos Numéricos,1984
8,29-Jul-85, 8,7762,769,Geometría Analítica y Métodos Gráficos,1984
8,15-Dec-84, 8,7762,770,Análisis Matemático y Métodos Numéricos I,1984
8,05-Dec-84, 9,7762,771,Geometría Descriptiva,1984
8,02-May-85, 7,7762,1301,Integración Cultural I,1984
8,13-Dec-85, 9,7762,1302,Integración Cultural II,1984
21,17-Jul-98, 8,7762,235,Estructuras Metálicas y de Madera,1984
84,19-Jul-95, 8,7785,101,Álgebra y Geometría(Plan 95),1995
84,11-Aug-95, 6,7785,102,Análisis Matemático,1995
84,17-May-96, 2,7785,108,Economía(Plan 95),1995
84,19-Jul-96, 5,7785,108,Economía(Plan 95),1995
84,16-Dec-96, 4,7785,111,Inglés  I,1995
84,17-Jul-95, 7,7785,121,Introducción a la Producción Agraria,1995
84,11-Dec-95, 6,7785,122,Producción Agraria I,1995
84,18-Dec-95, 7,7785,123,Instalaciones Agrarias(Plan 95),1995
84,06-Mar-96, 7,7785,171,Informática (Elec.),1995
84,28-Feb-96, 5,7785,204,Probabilidad y Estadística(Plan 95),1995
84,24-Feb-97, 5,7785,212,Inglés  II,1995
84,09-Aug-96, 9,7785,224,Producción Agraria II,1995
