,esp,fecha,nota,legajo,materia,nombre_de_,ingr,Carrera,Recibido
40,81,16-Mar-98,6,7530,2131,Control de Gestión,1994.0,Indeterminado,Ndeah
41,81,16-Mar-98,6,7530,2131,Control de Gestión,1994.0,Indeterminado,Ndeah
44,81,15-Jul-98,4,7665,2121,Planificación de la Producción,1994.0,Indeterminado,Ndeah
45,81,15-Jul-98,4,7665,2121,Planificación de la Producción,1994.0,Indeterminado,Ndeah
46,81,05-Aug-98,6,7665,2126,Control de la Producción,1994.0,Indeterminado,Ndeah
47,81,05-Aug-98,6,7665,2126,Control de la Producción,1994.0,Indeterminado,Ndeah
48,81,05-Oct-98,4,7665,2129,Legislación,1994.0,Indeterminado,Ndeah
49,81,05-Oct-98,4,7665,2129,Legislación,1994.0,Indeterminado,Ndeah
50,81,15-Mar-99,6,7665,2132,Higiene y Seguridad Industrial,1994.0,Indeterminado,Ndeah
51,81,15-Mar-99,6,7665,2132,Higiene y Seguridad Industrial,1994.0,Indeterminado,Ndeah
52,81,18-Mar-98,4,7681,2129,Legislación,1994.0,Indeterminado,Ndeah
53,81,15-May-98,6,7681,2131,Control de Gestión,1994.0,Indeterminado,Ndeah
399,84,13-May-98,4,6642,228,Maquinaria Agrícola(Plan 95),1991.0,Indeterminado,Ndeah
446,81,03-Mar-00,2,6866,2118,Investigación Operativa,1992.0,Indeterminado,Ndeah
447,81,17-Mar-00,4,6866,2118,Investigación Operativa,1992.0,Indeterminado,Ndeah
448,81,20-Oct-99,5,6866,2122,Computación I,1992.0,Indeterminado,Ndeah
449,81,18-Mar-98,2,6866,2123,Estudio del Trabajo,1992.0,Indeterminado,Ndeah
450,81,15-Mar-99,6,6866,2123,Estudio del Trabajo,1992.0,Indeterminado,Ndeah
451,81,26-Mar-99,9,6866,2125,Evaluación de Proyectos,1992.0,Indeterminado,Ndeah
452,81,14-Jul-99,9,6866,2126,Control de la Producción,1992.0,Indeterminado,Ndeah
453,81,09-Dec-99,2,6866,2127,Computación II,1992.0,Indeterminado,Ndeah
454,81,15-Dec-99,4,6866,2127,Computación II,1992.0,Indeterminado,Ndeah
455,81,26-Mar-99,9,6866,2128,Seminario Final,1992.0,Indeterminado,Ndeah
456,81,22-Oct-99,8,6866,2130,Relaciones Industriales,1992.0,Indeterminado,Ndeah
457,81,12-May-00,6,6866,2131,Control de Gestión,1992.0,Indeterminado,Ndeah
458,81,11-May-98,9,6866,2132,Higiene y Seguridad Industrial,1992.0,Indeterminado,Ndeah
470,81,26-Mar-99,9,7015,2125,Evaluación de Proyectos,1999.0,Indeterminado,Ndeah
471,81,26-Mar-99,9,7015,2125,Evaluación de Proyectos,1999.0,Indeterminado,Ndeah
472,81,26-Mar-99,9,7015,2128,Seminario Final,1999.0,Indeterminado,Ndeah
473,81,26-Mar-99,9,7015,2128,Seminario Final,1999.0,Indeterminado,Ndeah
474,81,11-May-98,9,7015,2132,Higiene y Seguridad Industrial,1999.0,Indeterminado,Ndeah
475,81,11-May-98,9,7015,2132,Higiene y Seguridad Industrial,1999.0,Indeterminado,Ndeah
482,81,26-Mar-99,9,7182,2125,Evaluación de Proyectos,1999.0,Indeterminado,Ndeah
483,81,26-Mar-99,9,7182,2128,Seminario Final,1999.0,Indeterminado,Ndeah
484,81,11-May-98,9,7182,2132,Higiene y Seguridad Industrial,1999.0,Indeterminado,Ndeah
485,81,11-Dec-98,8,7216,2125,Evaluación de Proyectos,1993.0,Indeterminado,Ndeah
486,81,11-Dec-98,8,7216,2128,Seminario Final,1993.0,Indeterminado,Ndeah
487,81,11-May-98,4,7216,2130,Relaciones Industriales,1993.0,Indeterminado,Ndeah
488,81,11-May-98,4,7216,2130,Relaciones Industriales,1993.0,Indeterminado,Ndeah
489,81,16-Mar-98,7,7216,2131,Control de Gestión,1993.0,Indeterminado,Ndeah
490,81,11-May-98,9,7216,2132,Higiene y Seguridad Industrial,1993.0,Indeterminado,Ndeah
698,81,19-Jul-96,6,8271,121,Análisis Matemático,2001.0,Indeterminado,Ndeah
699,81,19-Jul-96,8,8271,122,Química,2001.0,Indeterminado,Ndeah
700,81,17-Jul-96,6,8271,123,Álgebra,2001.0,Indeterminado,Ndeah
701,81,09-Dec-96,8,8271,124,Física,2001.0,Indeterminado,Ndeah
702,81,18-Dec-96,2,8271,127,Informática I,2001.0,Indeterminado,Ndeah
703,81,14-May-97,8,8271,127,Informática I,2001.0,Indeterminado,Ndeah
1214,84,05-Aug-98,2,8746,121,Introducción a la Producción Agraria,1996.0,Indeterminado,Ndeah
1215,84,05-Aug-98,2,8746,121,Introducción a la Producción Agraria,1996.0,Indeterminado,Ndeah
1216,84,07-Oct-98,4,8746,121,Introducción a la Producción Agraria,1996.0,Indeterminado,Ndeah
1518,81,17-Jul-98,2,9015,124,Física,1996.0,Indeterminado,Ndeah
